Fx_coeff,Fy_coeff,CD_pressure,CL_pressure,alpha_deg
0.02792949602007866,-0.668307363986969,0.30775161620768815,-0.5938886530560273,-25.0
0.03170248866081238,-0.5005186200141907,0.20097804480953374,-0.45949076407772965,-20.0
0.009119994938373566,-0.5686116814613342,0.15597677107656183,-0.546876279871866,-15.0
-0.10841163992881775,-0.7661254405975342,0.026271663105368298,-0.7733117573918681,-10.0
-0.03578699380159378,-0.4270031452178955,0.001564962791261941,-0.4284973113600509,-5.0
0.0009789172327145934,0.29694193601608276,0.0009789172327145934,0.29694193601608276,0.0
-0.06561616063117981,0.8150938749313354,0.005673640748789691,0.8177110218697129,5.0
-0.18945614993572235,1.1460657119750977,0.012434337058486039,1.1615531137986632,10.0
-0.28835293650627136,1.2416242361068726,0.04282845070762814,1.273948147881125,15.0
-0.04621977359056473,1.5702285766601562,0.49361742266591835,1.491340300022634,20.0
-0.04323095455765724,1.4670765399932861,0.58083278641589,1.3478930832432487,25.0
